,City,Country,Lat,Lng,Max Temp,Humidity(%),Cloudiness(%),Wind Speed (mph),Date
405,angoche,MZ,-16.23,39.91,70.5,65,0,13.87,1596148521
406,kabinda,CD,-6.13,24.48,72.39,30,12,4.72,1596148521
407,souillac,MU,-20.52,57.52,71.6,83,75,4.7,1596148521
408,strezhevoy,RU,60.73,77.59,48.2,100,75,2.24,1596148521
409,presidencia roque saenz pena,AR,-26.79,-60.44,56.88,44,81,4.7,1596148521
410,ilulissat,GL,69.22,-51.1,48.2,61,40,4.7,1596148521
411,saint-louis,SN,16.33,-15,86,74,75,11.92,1596148521
412,date,JP,42.47,140.87,70.09,81,28,0.34,1596148522
413,nushki,PK,29.55,66.02,83.7,41,4,7.05,1596148522
414,marcona,,,,,,,,
415,suez,EG,29.97,32.53,78.03,63,0,11.77,1596148522
416,montrose,US,38.42,-108.27,89.01,13,0,7,1596148443
417,chuy,UY,-33.7,-53.46,45.41,85,0,9.86,1596148522
418,kansk,RU,56.2,95.72,59.04,93,79,5.59,1596148522
419,hirara,JP,24.8,125.28,82.4,94,75,5.82,1596148523
420,west bay,KY,19.37,-81.42,88,74,40,16.11,1596148523
421,bandar,ID,2.05,99.75,72.9,84,100,2.21,1596148523
422,umm kaddadah,SD,13.6,26.69,84.07,52,48,12.03,1596148523
423,grindavik,IS,63.84,-22.43,50,87,75,5.82,1596148523
424,wuxue,CN,29.85,115.55,80.22,86,84,4.29,1596148523
425,harper,LR,4.38,-7.72,75.52,85,93,7.18,1596148523
426,whyalla,AU,-33.03,137.58,39.2,100,0,6.93,1596148524
427,rundu,NA,-17.93,19.77,53.17,43,0,5.75,1596148524
428,takoradi,GH,4.88,-1.76,74.14,86,30,7.85,1596148385
429,gualaquiza,EC,-3.4,-78.55,63.43,87,99,0.89,1596148524
430,labuhan,ID,-6.88,112.21,72.48,84,15,8.84,1596148524
431,manavalakurichi,IN,8.13,77.3,78.8,88,75,2.24,1596148524
432,kerur,IN,16.02,75.57,73.26,88,95,10.29,1596148524
433,buin,CL,-33.73,-70.75,57.2,50,75,3.36,1596148525
434,karlstadt,DE,49.96,9.77,64.99,63,19,3.2,1596148525
435,bowen,AU,-20.02,148.23,66.99,82,0,3.36,1596148525
436,la chapelle-sur-erdre,FR,47.3,-1.55,82.4,42,0,9.17,1596148525
437,dolores,AR,-36.31,-57.68,42.44,84,64,9.28,1596148525
438,nago,JP,26.59,127.98,84.2,83,20,12.75,1596148525
439,dwarka,IN,22.24,68.97,84.43,81,100,11.61,1596148526
440,forestville,US,38.85,-76.88,91.99,66,1,6.93,1596148526
441,praia,CV,14.92,-23.51,78.8,74,75,12.75,1596148526
442,rio brilhante,BR,-21.8,-54.55,68.9,64,2,7.25,1596148526
443,bilma,NE,18.69,12.92,93.88,17,51,3.98,1596148526
444,lac-megantic,CA,45.58,-70.88,73,77,8,3,1596148526
445,tura,IN,25.52,90.22,74.01,97,96,4.5,1596148526
446,aksha,RU,50.28,113.29,64.44,83,98,4.21,1596148527
447,christchurch,NZ,-43.53,172.63,55.99,81,100,11.41,1596148518
448,raga,SS,8.46,25.68,69.13,95,100,2.98,1596148527
449,bargal,,,,,,,,
450,bria,CF,6.54,21.99,68.22,93,4,1.36,1596148527
451,oktyabrskiy,RU,54.48,53.47,61.36,87,80,5.93,1596148527
452,katsuura,JP,35.13,140.3,75,100,75,1.12,1596148527
453,senanga,ZM,-16.12,23.27,62.85,41,0,8.46,1596148528
454,jacareacanga,BR,-6.22,-57.75,80.69,44,22,1.03,1596148528
455,grand-santi,GF,4.25,-54.38,77.25,81,85,2.08,1596148528
456,naifaru,MV,5.44,73.37,82.11,81,59,17.98,1596148528
457,lebedyn,UA,50.59,34.48,64.62,77,59,2.73,1596148528
458,sakaraha,MG,-22.9,44.53,55.67,93,0,5.57,1596148528
459,paradwip,,,,,,,,
460,huarmey,PE,-10.07,-78.15,64.17,74,2,8.05,1596148529
461,bay city,US,43.59,-83.89,80.01,44,1,5.82,1596148347
462,baherden,TM,38.44,57.43,78.48,43,1,14.32,1596148529
463,cabedelo,BR,-6.98,-34.83,73.4,88,6,8.05,1596148529
464,marovoay,MG,-16.1,46.63,69.33,87,3,1.61,1596148529
465,yerbogachen,RU,61.28,108.01,58.26,72,41,9.51,1596148529
466,chauk,MM,20.88,94.82,78.8,84,100,8.34,1596148530
467,atambua,ID,-9.11,124.89,67.73,75,39,6.78,1596148530
468,manzhouli,CN,49.6,117.43,67.3,80,84,4.21,1596148530
469,richards bay,ZA,-28.78,32.04,60.98,72,5,5.95,1596148530
470,belyy yar,RU,53.6,91.39,59,87,100,4.47,1596148530
471,abha,SA,18.22,42.51,66.2,82,40,5.82,1596148530
472,sitka,US,57.05,-135.33,66.2,72,1,9.17,1596148530
473,bosaso,SO,11.28,49.18,90.82,52,77,4.9,1596148531
474,mubende,UG,0.56,31.39,66.69,65,44,1.3,1596148531
475,moerai,PF,-22.43,-151.33,73.27,81,4,11.21,1596148531
476,pisco,PE,-13.7,-76.22,64.4,68,6,11.41,1596148531
477,olinda,BR,-8.01,-34.86,75.2,78,75,11.41,1596148531
478,narva-joesuu,EE,59.46,28.04,57.02,91,82,9.93,1596148531
479,isangel,VU,-19.55,169.27,77,73,13,6.93,1596148532
480,ponerihouen,NC,-21.08,165.4,74.7,83,73,4.43,1596148532
481,chernyshevskiy,RU,63.01,112.47,56.48,75,54,7.58,1596148532
482,vila do maio,CV,15.13,-23.22,78.8,74,75,12.75,1596148532
483,ambon,ID,-3.7,128.18,79,14,95,1.01,1596148532
484,kushiro,JP,42.98,144.37,60.8,100,75,5.82,1596148532
485,burica,,,,,,,,
486,kuminskiy,RU,58.67,66.57,52.99,98,100,3.53,1596148533
487,wahpeton,US,46.27,-96.61,81,51,75,3.36,1596148533
488,troitsko-pechorsk,RU,62.71,56.2,55.58,78,100,9.22,1596148533
489,fairbanks,US,64.84,-147.72,77,38,1,12.71,1596148449
490,saint-pierre,RE,-21.34,55.48,68,72,45,3.36,1596148533
491,arraial do cabo,BR,-22.97,-42.03,66.2,93,75,10.29,1596148533
492,beringovskiy,RU,63.05,179.32,49.71,89,99,13.51,1596148533
493,khabary,RU,53.63,79.53,54.99,64,93,8.59,1596148534
494,atherton,GB,53.52,-2.49,69.01,62,69,1.99,1596148534
495,polunochnoye,RU,60.87,60.42,50.83,99,100,6.91,1596148534
496,geraldton,AU,-28.77,114.6,48.2,93,92,6.93,1596148266
497,utete,TZ,-7.99,38.76,71.1,86,5,4.43,1596148534
498,sopelana,ES,43.38,-2.98,82.4,58,99,13.87,1596148534
499,inirida,CO,3.87,-67.92,77.74,85,1,1.81,1596148535
500,novopetrovskoye,RU,55.99,36.47,53.6,81,41,8.95,1596148535
501,maragogi,BR,-9.01,-35.22,73.36,83,14,11.41,1596148535
502,martaban,MM,16.53,97.61,76.8,92,75,3.69,1596148535
503,sorvag,,,,,,,,
504,cartagena,CO,10.4,-75.51,78.8,94,75,3.36,1596148469
505,saint-georges,GD,12.06,-61.75,86,74,20,10.29,1596148535
506,aktash,RU,50.3,87.73,34.99,97,29,2.15,1596148536
507,sterling,US,39.01,-77.43,91,55,90,3.36,1596148469
508,kaltasy,RU,55.97,54.8,61.9,96,69,10.02,1596148536
509,longyan,CN,25.11,117.02,75.97,86,95,3.49,1596148536
510,lida,BY,53.88,25.3,52.63,92,13,9.24,1596148536
511,taoudenni,ML,22.68,-3.98,91.94,35,96,14.47,1596148536
512,ancud,CL,-41.87,-73.82,46.99,93,90,11.41,1596148536
513,mentakab,MY,3.49,102.35,73.13,95,100,0.83,1596148537
514,lesnoye,RU,58.28,35.52,53.02,96,75,7.36,1596148537
515,timiryazevskiy,RU,56.49,84.88,55,89,0,3.15,1596148537
516,talavera de la reina,ES,39.96,-4.83,79.97,30,0,3.15,1596148537
517,wanxian,CN,30.8,108.39,79.14,79,93,1.01,1596148537
518,dubbo,AU,-32.25,148.62,42.8,100,0,11.41,1596148537
519,zakharovo,RU,54.37,39.28,57.99,79,3,6.91,1596148537
520,asfi,MA,32.3,-9.24,73.53,76,37,9.04,1596148538
521,asau,RO,46.43,26.4,69.01,82,0,2.3,1596148538
522,ishigaki,JP,24.34,124.16,82.4,94,75,4.7,1596148538
523,komsomolskiy,UZ,40.43,71.72,77,50,34,2.24,1596148538
524,laredo,US,27.51,-99.51,95,50,75,17.22,1596148496
525,khani,GE,41.96,42.96,71.6,94,75,2.24,1596148538
526,ryotsu,JP,38.08,138.43,73.4,94,90,2.24,1596148539
527,cervo,ES,43.67,-7.41,64.99,89,2,9.13,1596148539
528,port hardy,CA,50.7,-127.42,71.6,56,5,5.82,1596148539
529,gorom-gorom,BF,14.44,-0.24,92.84,38,3,6.98,1596148539
530,hasaki,JP,35.73,140.83,72,94,75,2.24,1596148539
531,kisangani,CD,0.52,25.2,73.72,76,0,1.83,1596148539
532,college,US,64.86,-147.8,77,53,75,5.82,1596148539
533,yakeshi,CN,49.28,120.73,67.19,84,72,4.99,1596148540
534,vanavara,RU,60.34,102.28,60.44,80,100,5.64,1596148540
535,yei,SS,4.09,30.68,65.3,93,21,2.15,1596148540
536,bogashevo,RU,56.37,85.14,55,100,0,4.47,1596148325
537,ostrovnoy,RU,68.05,39.51,50.4,84,57,14.18,1596148540
538,sekoma,BW,-24.4,23.88,50.41,41,0,6.24,1596148540
539,zhangjiakou,CN,40.81,114.88,70.03,81,99,0.65,1596148540
540,ayios matthaios,,,,,,,,
541,awbari,LY,26.59,12.78,85.5,22,0,10.63,1596148541
542,bathsheba,BB,13.22,-59.52,84.2,70,40,13.87,1596148541
543,mnogovershinnyy,RU,53.94,139.92,58.17,87,85,4.32,1596148541
544,kodinar,IN,20.79,70.7,82.02,86,100,11.54,1596148541
545,hofn,IS,64.25,-15.21,51.96,88,91,12.17,1596148541
546,longlac,,,,,,,,
547,alofi,NU,-19.06,-169.92,75.2,57,29,16.11,1596148542
548,edgemoor,US,39.75,-75.5,91,46,1,5.82,1596148542
549,tirur,IN,10.9,75.92,75.2,94,75,2.24,1596148542
550,kushima,JP,31.46,131.23,82.4,78,2,5.82,1596148542
551,yaan,NG,7.38,8.57,72.66,96,100,7.99,1596148542
552,andenes,NO,69.31,16.12,59,77,5,5.44,1596148338
553,dikson,RU,73.51,80.55,53.06,72,100,11.61,1596148383
554,teguldet,RU,57.31,88.17,50.11,98,15,3.74,1596148543
555,khon kaen,TH,16.45,102.83,78.8,94,40,4.7,1596148543
556,macroom,IE,51.9,-8.95,59,93,75,12.75,1596148543
557,savelugu,GH,9.62,-0.83,77.49,81,45,5.01,1596148543
558,namatanai,PG,-3.67,152.43,83.25,76,100,10.85,1596148543
559,dawei,MM,14.08,98.2,77.9,87,90,0.18,1596148543
560,ust-kamchatsk,,,,,,,,
561,guhagar,IN,17.48,73.19,79.2,85,96,1.92,1596148544
562,little current,CA,45.98,-81.92,77,50,1,10.29,1596148544
563,pamanukan,ID,-6.28,107.81,69.37,79,76,4.9,1596148544
564,clyde river,CA,70.47,-68.59,37.4,100,90,18.34,1596148544
565,zaozerne,UA,45.16,33.28,75.51,72,0,4.61,1596148544
566,hosangadi,IN,13.7,74.95,74.91,90,86,2.1,1596148545
567,saint anthony,US,45.02,-93.22,82.4,39,1,9.17,1596148545
568,ouadda,CF,8.08,22.4,66.88,94,26,1.72,1596148545
569,moengo,SR,5.62,-54.4,75.6,88,30,2.46,1596148545
570,balabac,PH,7.99,117.06,81.72,83,100,18.28,1596148545
571,manadhoo,MV,5.77,73.38,81.95,80,89,18.7,1596148546
572,surt,LY,31.21,16.59,77.58,80,0,7.67,1596148546
573,mehamn,NO,71.04,27.85,51.8,87,75,6.93,1596148546
574,port hawkesbury,CA,45.62,-61.35,78.8,61,1,3.36,1596148546
575,marawi,PH,8,124.29,73.99,94,74,5.01,1596148546
576,qaqortoq,GL,60.72,-46.03,46.4,87,100,8.05,1596148546
577,waipawa,NZ,-41.41,175.52,55.4,62,100,8.05,1596148547
578,kermanshah,IR,34.31,47.06,80.6,15,0,6.93,1596148547
579,dudinka,RU,69.41,86.18,60.8,67,91,13.42,1596148547
580,san ramon de la nueva oran,AR,-23.13,-64.33,55,63,34,1.01,1596148547
581,los llanos de aridane,ES,28.66,-17.92,73.4,69,90,14.99,1596148487
582,chagda,,,,,,,,
583,tsihombe,,,,,,,,
584,tabuk,PH,17.42,121.44,75.81,90,100,3.69,1596148548
585,myskhako,RU,44.67,37.74,66.2,88,20,2.24,1596148548
586,rio grande,BR,-32.03,-52.1,51.01,88,0,1.99,1596148371
587,hervey bay,AU,-25.3,152.85,60.01,77,2,5.99,1596148548
588,mahon,ES,39.89,4.27,77,88,0,6.93,1596148296
589,oyama,JP,36.3,139.8,77,94,75,2.24,1596148549
590,goderich,CA,43.75,-81.72,72,87,4,5.99,1596148549
591,salinopolis,BR,-0.61,-47.36,80.28,80,94,6.53,1596148549
592,barra do garcas,BR,-15.89,-52.26,76.08,38,0,4.29,1596148549
593,altay,CN,47.87,88.12,49.24,69,0,1.99,1596148549
594,porbandar,IN,21.64,69.61,83.68,83,100,11.48,1596148549
595,harrison,US,30.41,-89.04,89.6,62,1,6.93,1596148357
596,kysyl-syr,RU,63.9,122.76,62.74,62,0,3.98,1596148550
597,sayla,IN,22.55,71.47,82.06,82,100,9.19,1596148550
598,north bend,US,43.41,-124.22,80.01,77,75,12.75,1596148264
599,puerto madryn,AR,-42.77,-65.04,48.47,52,100,11.07,1596148550
600,katubao,PH,5.89,124.83,80.89,73,76,6.87,1596148550
601,sanmenxia,CN,34.77,111.18,76.86,81,80,5.84,1596148550
602,divo,CI,5.84,-5.36,69.28,97,21,2.37,1596148551
603,kungurtug,RU,50.6,97.52,55.06,85,100,1.63,1596148551
604,kuche,,,,,,,,
605,noyabrsk,RU,63.2,75.45,51.4,68,44,7.9,1596148551
606,izhma,RU,65.01,53.91,48.74,87,49,5.82,1596148551
607,san jose,US,37.34,-121.89,82.99,47,20,10.29,1596148502
608,vytegra,RU,61.01,36.45,54.84,85,5,9.04,1596148551
609,sheridan,US,44.83,-106.92,87.01,28,8,11.41,1596148494
