,City,Country,Lat,Lng,Max Temp,Humidity(%),Cloudiness(%),Wind Speed (mph),Date
92,plouzane,FR,48.38,-4.62,73.4,77,0,6.93,1596148474
93,hilo,US,19.73,-155.09,82.4,58,75,9.17,1596148474
94,barbar,,,,,,,,
95,cidreira,BR,-30.18,-50.21,55.8,77,0,14.2,1596148474
96,amapa,BR,1,-52,76.44,79,90,2.39,1596148475
97,constitucion,CL,-35.33,-72.42,51.69,80,100,2.66,1596148475
98,ribeira grande,PT,38.52,-28.7,70.79,77,75,14.45,1596148475
99,atuona,PF,-9.8,-139.03,78.89,74,6,18.05,1596148475
100,mount isa,AU,-20.73,139.5,60.8,29,0,5.82,1596148475
101,taclobo,PH,12.31,122.59,83.86,73,100,10.07,1596148475
102,port hedland,AU,-20.32,118.57,53.6,33,1,6.93,1596148475
103,tiznit,MA,29.58,-9.5,85.26,34,87,2.89,1596148476
104,chisinau,MD,47.01,28.86,71.6,88,40,8.05,1596148463
105,kyra,RU,49.58,111.98,60.55,85,100,3.09,1596148476
106,santiago de chuco,PE,-8.15,-78.18,60.04,47,73,0.07,1596148476
107,namibe,AO,-15.2,12.15,63.5,85,25,3.38,1596148476
108,esperance,AU,-33.87,121.9,48.2,100,40,6.93,1596148476
109,lucea,JM,18.45,-78.17,89.01,70,20,9.17,1596148476
110,raudeberg,NO,61.99,5.14,59,82,11,4.7,1596148477
111,baykit,RU,61.67,96.37,59.92,81,97,3.67,1596148477
112,itaporanga,BR,-7.3,-38.15,73.62,45,0,12.8,1596148477
113,berbera,SO,10.44,45.01,87.4,71,79,12.59,1596148477
114,provideniya,RU,64.38,-173.3,50,76,75,15.66,1596148477
115,torbay,CA,47.67,-52.73,61,100,90,2.24,1596148477
116,upernavik,GL,72.79,-56.15,44.35,74,58,1.14,1596148478
117,pasni,PK,25.26,63.47,83.95,82,88,3.15,1596148478
118,anadyr,RU,64.75,177.48,55.4,66,40,11.18,1596148478
119,longyearbyen,SJ,78.22,15.64,48.2,87,20,5.82,1596148478
120,butaritari,KI,3.07,172.79,82.26,75,62,6.17,1596148478
121,castro,BR,-24.79,-50.01,47.7,90,56,9.75,1596148478
122,shimoda,JP,34.67,138.95,70,92,5,4.38,1596148478
123,cabo san lucas,MX,22.89,-109.91,89.6,58,5,12.75,1596148261
124,hami,CN,42.8,93.45,70.75,33,0,13.91,1596148479
125,cherskiy,RU,68.75,161.3,47.25,71,96,10.25,1596148479
126,cayenne,GF,4.93,-52.33,82.4,78,25,3.36,1596148479
127,georgetown,MY,5.41,100.34,78.8,94,20,3.36,1596148479
128,fortuna,US,40.6,-124.16,69.01,78,1,5.01,1596148479
129,talnakh,RU,69.49,88.4,60.8,67,84,13.42,1596148479
130,east london,ZA,-33.02,27.91,59.76,76,63,5.77,1596148480
131,nuuk,GL,64.18,-51.72,46.4,81,39,5.82,1596148480
132,zhigansk,RU,66.77,123.37,53.76,68,0,14.36,1596148480
133,lebu,CL,-37.62,-73.65,50.31,90,99,12.53,1596148480
134,mubi,NG,10.27,13.26,70.3,84,72,2.21,1596148480
135,smithers,CA,54.78,-127.17,80.6,36,20,3.36,1596148480
136,el faiyum,,,,,,,,
137,port alfred,ZA,-33.59,26.89,56.34,85,24,7.54,1596148481
138,jilib,SO,0.49,42.79,74.95,87,1,7.29,1596148481
139,la asuncion,VE,11.03,-63.86,81.27,85,20,11.59,1596148481
140,wageningen,NL,51.97,5.67,66,72,3,3.36,1596148481
141,moron,AR,-34.65,-58.62,55,57,10,6.93,1596148481
142,tucurui,BR,-3.77,-49.67,80.4,50,72,1.34,1596148481
143,nizhniy baskunchak,RU,48.22,46.83,82.92,24,59,7.92,1596148481
144,tarauaca,BR,-8.16,-70.77,76.86,64,20,1.86,1596148257
145,illoqqortoormiut,,,,,,,,
146,kapaa,US,22.08,-159.32,80.6,78,75,20.8,1596148482
147,saint-ambroise,CA,48.55,-71.33,73.4,60,75,4.7,1596148482
148,lethem,GY,3.38,-59.8,80.67,63,33,1.83,1596148482
149,rovigo,IT,45.08,11.79,82,76,0,2.08,1596148482
150,luganville,VU,-15.53,167.17,77,94,75,6.62,1596148483
151,formoso do araguaia,,,,,,,,
152,baruun-urt,MN,46.68,113.28,64.62,69,0,3.76,1596148483
153,sentyabrskiy,,,,,,,,
154,myanaung,MM,18.28,95.32,77.14,90,56,2.04,1596148483
155,sokoni,TZ,-6.43,39.55,77,83,40,5.82,1596148483
156,alyangula,AU,-13.85,136.42,55.4,93,0,14.47,1596148483
157,dedougou,BF,12.47,-3.47,80.38,66,1,6.35,1596148484
158,tuktoyaktuk,CA,69.45,-133.04,64.4,68,75,4.7,1596148484
159,bredasdorp,ZA,-34.53,20.04,46.4,93,0,1.12,1596148484
160,port augusta,AU,-32.5,137.77,43,100,0,6.93,1596148484
161,asuncion,PY,-25.3,-57.64,68,34,80,3.36,1596148282
162,thompson,CA,55.74,-97.86,66.2,93,90,10.29,1596148231
163,zhigalovo,RU,54.81,105.16,60.87,87,100,2.21,1596148484
164,khatanga,RU,71.97,102.5,64.8,50,21,11.95,1596148485
165,salym,RU,60.06,71.48,46.44,79,8,1.32,1596148324
166,havelock,US,34.88,-76.9,84.99,78,54,4,1596148485
167,elko,US,41,-115.5,102.2,5,40,11.41,1596148207
168,wajima,JP,37.4,136.9,76.17,89,54,13.98,1596148485
169,palu,ID,-0.89,119.87,76.62,80,98,1.63,1596148485
170,pangnirtung,CA,66.15,-65.71,53.6,93,90,5.82,1596148486
171,villa union,MX,23.2,-106.23,89.01,66,75,10.29,1596148486
172,brigantine,US,39.41,-74.36,86,62,1,8.05,1596148431
173,grand river south east,,,,,,,,
174,itarare,BR,-24.11,-49.33,54,99,66,5.99,1596148486
175,cape town,ZA,-33.93,18.42,51.8,93,0,3.36,1596148282
176,mogadishu,SO,2.04,45.34,77.41,85,55,17.02,1596148486
177,takaka,NZ,-40.85,172.8,55.99,79,100,3,1596148367
178,olafsvik,IS,64.89,-23.71,50.32,76,93,7.94,1596148487
179,nanortalik,GL,60.14,-45.24,43.97,86,100,9.24,1596148487
180,susanville,US,40.42,-120.65,93.99,11,1,13.87,1596148487
181,santa isabel do rio negro,BR,-0.41,-65.02,77.7,61,0,2.01,1596148487
182,katete,UG,-0.78,29.75,66,61,40,2.77,1596148487
183,boa vista,BR,2.82,-60.67,91.4,43,20,8.05,1596148487
184,carnarvon,AU,-24.87,113.63,59,100,0,9.17,1596148488
185,salalah,OM,17.02,54.09,82.4,94,40,6.93,1596148488
186,port lincoln,AU,-34.73,135.87,52.97,65,47,11.18,1596148228
187,rodrigues alves,BR,-7.74,-72.65,87.8,58,40,5.82,1596148488
188,beisfjord,NO,68.38,17.6,60.8,82,28,3.36,1596148488
189,dakar,SN,14.69,-17.44,80.6,83,20,13.87,1596148488
190,moree,AU,-29.47,149.85,48.2,81,0,8.05,1596148488
191,traverse city,US,44.76,-85.62,77,41,20,11.41,1596148411
192,sorland,NO,67.67,12.69,57.2,93,79,4.7,1596148489
193,rawson,AR,-43.3,-65.1,47.41,52,100,12.8,1596148423
194,san patricio,MX,19.22,-104.7,87.57,62,35,7.09,1596148489
195,novo aripuana,BR,-5.12,-60.38,79.92,43,27,1.61,1596148489
196,mildura,AU,-34.2,142.15,35.6,100,1,4.03,1596148489
197,haines junction,CA,60.75,-137.51,75.15,36,0,8.97,1596148489
198,aksu,CN,41.12,80.26,75,22,65,5.39,1596148490
199,sao filipe,CV,14.9,-24.5,76.15,83,19,6.71,1596148490
200,bethel,US,41.37,-73.41,78.8,69,20,7.54,1596148490
201,port elizabeth,ZA,-33.92,25.57,53.6,87,2,4.7,1596148490
202,tagusao,PH,9.19,117.81,79.2,85,100,7.27,1596148490
203,fukue,JP,32.69,128.84,81.5,82,90,3.78,1596148490
204,nagorsk,RU,59.32,50.81,59.2,95,60,8.03,1596148383
205,sal rei,CV,16.18,-22.92,78.8,69,75,6.93,1596148491
206,mayo,US,38.89,-76.51,89.6,66,1,11.41,1596148491
207,bayir,TR,37.27,28.22,73.4,69,0,3.36,1596148491
208,nhulunbuy,AU,-12.23,136.77,73.4,69,2,9.17,1596148491
209,vao,NC,-22.67,167.48,72.63,89,30,18.48,1596148491
210,hanzhong,CN,33.07,107.03,71.17,83,92,0.81,1596148491
211,fare,PF,-16.7,-151.02,79.63,79,80,13,1596148492
212,smidovich,RU,48.6,133.82,73.15,86,1,5.37,1596148492
213,vila franca do campo,PT,37.72,-25.43,69.8,83,20,6.93,1596148492
214,venta,LT,56.2,22.7,57.2,87,75,11.41,1596148492
215,viedma,AR,-40.81,-63,51.01,57,88,4,1596148492
216,iracoubo,GF,5.48,-53.2,79.25,78,6,4.45,1596148492
217,hornepayne,CA,49.21,-84.77,65.64,64,68,7.7,1596148493
218,vaitupu,,,,,,,,
219,berlevag,NO,70.86,29.09,51.8,87,75,6.93,1596148493
220,tasiilaq,GL,65.61,-37.64,48.2,61,95,2.24,1596148493
221,tabiauea,,,,,,,,
222,jiazi,CN,22.88,116.07,83.01,80,11,19.75,1596148493
223,port blair,IN,11.67,92.75,81.19,79,92,15.99,1596148493
224,la ronge,CA,55.1,-105.28,73.4,64,75,10.29,1596148494
225,arlit,NE,18.74,7.39,97.23,15,28,5.01,1596148494
226,topolobampo,MX,25.6,-109.05,91,52,5,20.8,1596148494
227,osmena,PH,10.52,119.93,82.49,82,100,24.52,1596148494
228,iqaluit,CA,63.75,-68.51,53.6,71,90,4.7,1596148494
229,vila velha,BR,-20.33,-40.29,73.4,88,75,14.99,1596148348
230,kendrapara,IN,20.5,86.42,82.4,94,40,2.24,1596148494
231,goba,ET,7.02,39.98,49.98,84,12,4.32,1596148495
232,beloha,MG,-25.17,45.05,60.49,84,0,5.3,1596148495
233,mahibadhoo,MV,3.78,72.97,82.54,77,79,15.93,1596148495
234,goryachegorsk,RU,55.41,88.92,50.02,95,48,4.99,1596148495
235,san quintin,MX,30.48,-115.95,74.93,66,6,13.4,1596148495
236,aybak,,,,,,,,
237,karratha,AU,-20.74,116.85,65.39,37,0,6.8,1596148495
238,sakaiminato,JP,35.55,133.23,80.6,83,75,5.82,1596148496
239,palabuhanratu,,,,,,,,
240,miandrivazo,MG,-19.52,45.47,67.14,76,10,2.01,1596148496
241,veraval,IN,20.9,70.37,82.8,84,100,11.99,1596148496
242,skjervoy,NO,70.03,20.97,62.6,55,3,18.34,1596148496
243,boguchany,RU,58.38,97.45,57.76,86,38,1.48,1596148496
244,caravelas,BR,-17.71,-39.25,70.68,81,0,6.4,1596148497
245,raymond,US,43.9,-70.47,73.99,74,37,4.29,1596148497
246,buala,SB,-8.14,159.59,84.25,72,96,2.82,1596148497
247,aflu,,,,,,,,
248,naze,JP,28.37,129.48,84.2,83,40,8.05,1596148497
249,rostaq,,,,,,,,
250,luderitz,NA,-26.65,15.16,78.8,16,0,13.87,1596148497
251,port-cartier,CA,50.03,-66.87,62.01,100,90,11.41,1596148498
252,kaitangata,NZ,-46.28,169.85,51.01,72,99,3.06,1596148498
253,yumen,CN,40.28,97.2,66.58,39,0,12.48,1596148498
254,vardo,NO,70.37,31.11,50,93,75,8.05,1596148498
255,khonuu,,,,,,,,
